エリア分類,エリア小分類,ゴルフコース名,緯度,経度
,,東京湾カントリークラブ,35.43808354,140.0101364
,,ゴールド木更津カントリークラブ,35.26683962,140.0122579
,,姉ヶ崎カントリークラブ,35.43800564,140.0809551
,,カメリアヒルズカントリークラブ,35.36044164,140.0226791
,,ＰＧＭマリアゴルフリンクス,35.3525432,140.0860782
,,鴨川カントリークラブ,35.1552287,140.0938438
,,新君津ベルグリーンカントリー倶楽部,35.25466213,140.0191015
,,ロイヤルスターゴルフクラブ,35.26914248,140.0792541
,,ジャパンＰＧＡゴルフクラブ,35.2407955,139.9833195
,千葉（市川・八千代・四街道・船橋）,総武カントリー北コース,35.78582303,140.1784324
,,ダイナミックゴルフ千葉,35.58178846,140.2085644
,,国際レディースゴルフ倶楽部,35.7708964,140.0867358
,,習志野カントリークラブ,35.81321075,140.1438117
,,京葉カントリー倶楽部,35.5902257,140.193693
,,中山カントリークラブ,35.7600341,140.079635
,,太平洋クラブ八千代コース,35.7523535,140.1319684
,,本千葉カントリークラブ,35.53831498,140.1758299
,,ヌーヴェルゴルフ倶楽部 金谷郷コース,35.5430025,140.2873287
,東京,赤羽ゴルフ倶楽部,35.7943756,139.7010944
,,伊豆大島リゾートゴルフクラブ,34.78670656,139.3875045
,,桜ヶ丘カントリークラブ,35.6448068,139.4657473
,,新東京都民ゴルフ場,35.7811373,139.7398559
,,東京相武カントリークラブ,35.6144614,139.3087429
,,東京相武ショートコース,35.6122961,139.3084064
,,東京国際ゴルフ倶楽部,35.6060064,139.4135565
,,東京バーディクラブ,35.8307673,139.2796771
,,武蔵野ゴルフクラブ,35.7002851,139.3031344
,,MUFGスタジアム（国立競技場）,35.6782319,139.7144338
,神奈川（相模原・厚木・秦野・伊勢原・横浜）,津久井湖ゴルフ倶楽部,35.5852104,139.2364979
,,大秦野カントリークラブ,35.4097082,139.1850508
,,大厚木カントリークラブ桜コース,35.49431561,139.3057185
,,伊勢原カントリークラブ,35.4104142,139.2762169
,,中津川カントリークラブ,35.51857955,139.3097562
,,神奈川カントリークラブ,35.5852052,139.1422404
,,厚木国際カントリー倶楽部,35.4774499,139.3273509
,,秦野カントリークラブ,35.4097082,139.1850508
,,日産スタジアム,35.51020412,139.6063684
,神奈川（箱根・小田原・足柄）,富士屋ホテル仙石ゴルフコース,35.2713349,138.9972592
,,箱根湖畔ゴルフコース,35.2446154,138.983562
,,小田原ゴルフ倶楽部　松田コース,35.37958159,139.1443355
,,箱根園ゴルフ場,35.2113757,139.0255262
,,箱根湯の花ゴルフ場,35.2295005,139.0391228
,,箱根くらかけゴルフ場,35.1802087,139.0225863
,,湯河原カンツリー倶楽部,35.17071285,139.1109004
,,小田原城カントリー倶楽部,35.1912414,139.0989887
,,小田原湯本カントリークラブ,35.2269252,139.1114447
,,三井の森軽井沢カントリー倶楽部,36.30657956,138.5884708
,,望月リソルゴルフクラブ,36.20575046,138.3255097
,,サニーカントリークラブ,36.187101,138.308516
,,シャトレーゼカントリークラブ小海,36.05885842,138.4210835
,,軽井沢７２ゴルフ　西コース,36.31193126,138.6306172
,,グランディ軽井沢ゴルフクラブ,36.30136748,138.5473508
,,中軽井沢カントリークラブ,36.33353709,138.5734474
,,軽井沢７２ゴルフ　北コース,36.31846204,138.6063679
甲信越,山梨（富士河口湖・鳴沢・山中湖・身延）,河口湖カントリークラブ,35.46840847,138.7515411
,,富士ゴルフコース,35.40331938,138.8513707
,,鳴沢ゴルフ倶楽部,35.46638602,138.7188335
,,富士クラシック,35.40859497,138.6450882
,,富士レイクサイドカントリー倶楽部,35.45086296,138.7346372
,,富士ロイヤルカントリークラブ,35.20883827,138.507063
,,富士赤松ゴルフコース,35.46837401,138.6942876
,,富士ヶ嶺グリーンゴルフクラブ,35.42396399,138.643148
,山梨（北社・笛吹・甲州市）,甲府国際カントリークラブ,35.60172958,138.6949997
,,勝沼ゴルフコース,35.68864211,138.7539369
,,小淵沢カントリークラブ,35.88872715,138.3324889
,,北の杜カントリー倶楽部,35.82769332,138.3422853
,,昇仙峡カントリークラブ,35.71751929,138.5124151
,,甲斐ヒルズカントリー倶楽部,35.72935119,138.5129847
,,ウッドストックカントリークラブ,35.58181324,138.6783462
,,境川カントリー倶楽部,35.5859204,138.6358992
,,カントリークラブグリーンバレイ,35.74764622,138.5080796
,山梨（上野原・都留・大月）,花咲カントリー倶楽部,35.60862128,138.9260954
,,富士リゾートカントリークラブ,35.57385424,138.9071378
,,西東京ゴルフ倶楽部,35.54815009,138.881143
,,中央都留カントリー倶楽部,35.57046064,138.8641191
,,サンメンバーズカントリークラブ,35.62309235,139.0337744
,,大月カントリークラブ,35.62230185,139.0094343
,,都留カントリー倶楽部,35.53920585,138.9240837
